product_id,category,sub_category,discounted_price,actual_price,discount_percentage,rating,rating_count,After_discount
B07JW9H4J1,Cables,USBCables,399,1099,0.64,4.2,24269,700
B098NS6PVG,Cables,USBCables,199,349,0.43,4,43994,150
B096MSW6CT,Cables,USBCables,199,1899,0.9,3.9,7928,1700
B08HDJ86NZ,Cables,USBCables,329,699,0.53,4.2,94363,370
B08CF3B7N1,Cables,USBCables,154,399,0.61,4.2,16905,245
B08Y1TFSP6,Cables,USBCables,149,1000,0.85,3.9,24871,851
B08WRWPM22,Cables,USBCables,176.63,499,0.65,4.1,15188,322.37
B08DDRGWTJ,Cables,USBCables,229,299,0.23,4.3,30411,70
B008IFXQFU,WirelessUSBAdapters,Unknown,499,999,0.5,4.2,179691,500
B082LZGK39,Cables,USBCables,199,299,0.33,4,43994,100
B08CF3D7QR,Cables,USBCables,154,339,0.55,4.3,13391,185
B0789LZTCJ,Cables,USBCables,299,799,0.63,4.2,94363,500
B07KSMBL2H,Cables,HDMICables,219,700,0.69,4.4,426973,481
B085DTN6R2,Cables,USBCables,350,899,0.61,4.2,2262,549
B09KLVMZ3B,Cables,USBCables,159,399,0.6,4.1,4768,240
B083342NKJ,Cables,USBCables,349,399,0.13,4.4,18757,50
B0B6F7LX4C,SmartTelevisions,Unknown,13999,24999,0.44,4.2,32840,11000
B082LSVT4B,Cables,USBCables,249,399,0.38,4,43994,150
B08WRBG3XW,Cables,USBCables,199,499,0.6,4.1,13045,300
B08DPLCM6T,SmartTelevisions,Unknown,13490,21990,0.39,4.3,11976,8500
B09C6HXFC1,Cables,USBCables,970,1799,0.46,4.5,815,829
B085194JFL,Cables,HDMICables,279,499,0.44,3.7,10962,220
B09F6S8BT6,SmartTelevisions,Unknown,13490,22900,0.41,4.3,16299,9410
B09NHVCHS9,Cables,USBCables,59,199,0.7,4,9378,140
B0B1YVCJ2Y,SmartTelevisions,Unknown,11499,19990,0.42,4.3,4703,8491
B01M4GGIVU,Cables,HDMICables,199,699,0.72,4.2,12153,500
B08B42LWKN,SmartTelevisions,Unknown,14999,19999,0.25,4.2,34899,5000
B094JNXNPV,Cables,USBCables,299,399,0.25,4,2766,100
B09W5XR9RT,Cables,USBCables,970,1999,0.51,4.4,184,1029
B077Z65HSD,Cables,USBCables,299,999,0.7,4.3,20850,700
B00NH11PEY,Cables,USBCables,199,750,0.73,4.5,74976,551
B09CMM3VGK,Cables,USBCables,179,499,0.64,4,1934,320
B08QSC1XY8,Cables,USBCables,389,1099,0.65,4.3,974,710
B008FWZGSG,Cables,USBCables,599,599,0,4.3,355,0
B0B4HJNPV4,Cables,USBCables,199,999,0.8,3.9,1075,800
B08Y1SJVV5,Cables,USBCables,99,666.66,0.85,3.9,24871,567.66
B07XLCFSSN,Cables,USBCables,899,1900,0.53,4.4,13552,1001
B09RZS1NQT,Cables,USBCables,199,999,0.8,4,576,800
B0B3MMYHYW,SmartTelevisions,Unknown,32999,45999,0.28,4.2,7298,13000
B09C6HWG18,Cables,USBCables,970,1999,0.51,4.2,462,1029
B00NH11KIK,Cables,USBCables,209,695,0.7,4.5,107687,486
B09JPC82QC,SmartTelevisions,Unknown,19999,34999,0.43,4.3,27151,15000
B07JW1Y6XV,Cables,USBCables,399,1099,0.64,4.2,24269,700
B07KRCW6LZ,WirelessUSBAdapters,Unknown,999,1599,0.38,4.3,12093,600
B09NJN8L25,Cables,USBCables,59,199,0.7,4,9378,140
B07XJYYH7L,Cables,USBCables,333,999,0.67,3.3,9792,666
B002PD61Y4,WirelessUSBAdapters,Unknown,507,1208,0.58,4.1,8131,701
B014I8SSD0,Cables,HDMICables,309,475,0.35,4.4,426973,166
B09L8DSSFH,RemoteControls,Unknown,399,999,0.6,3.6,493,600
B07232M876,Cables,USBCables,199,395,0.5,4.2,92595,196
B07P681N66,WirelessUSBAdapters,Unknown,1199,2199,0.45,4.4,24780,1000
B0711PVX6Z,Cables,USBCables,179,500,0.64,4.2,92595,321
B082T6V3DT,Cables,USBCables,799,2100,0.62,4.3,8188,1301
B07MKFNHKG,StandardTelevisions,Unknown,6999,12999,0.46,4.2,4003,6000
B0BFWGBX61,Cables,USBCables,199,349,0.43,4.1,314,150
B01N90RZ4M,RemoteControls,Unknown,230,499,0.54,3.7,2960,269
B0088TKTY2,WirelessUSBAdapters,Unknown,649,1399,0.54,4.2,179691,750
B09Q5SWVBJ,SmartTelevisions,Unknown,15999,21999,0.27,4.2,34899,6000
B0B4DT8MKT,Cables,USBCables,348,1499,0.77,4.2,656,1151
B08CDKQ8T6,Cables,USBCables,154,349,0.56,4.3,7064,195
B07B275VN9,RemoteControls,Unknown,179,799,0.78,3.7,2201,620
B0B15CPR37,SmartTelevisions,Unknown,32990,47900,0.31,4.3,7109,14910
B0994GFWBH,Cables,USBCables,139,999,0.86,4,1313,860
B01GGKZ0V6,Cables,USBCables,329,845,0.61,4.2,29746,516
B09F9YQQ7B,SmartTelevisions,Unknown,13999,24999,0.44,4.2,45238,11000
B014I8SX4Y,Cables,HDMICables,309,1400,0.78,4.4,426973,1091
B09Q8HMKZX,Cables,USBCables,263,699,0.62,4.1,450,436
B0B9XN9S3W,StandardTelevisions,Unknown,7999,14990,0.47,4.3,457,6991
B07966M8XH,"TVMounts,Stands&Turntables",TVWall&CeilingMounts,1599,2999,0.47,4.2,2727,1400
B01GGKYKQM,Cables,USBCables,219,700,0.69,4.3,20053,481
B0B86CDHL1,Cables,USBCables,349,899,0.61,4.5,149,550
B0B5ZF3NRK,Cables,USBCables,349,599,0.42,4.1,210,250
B09RFC46VP,SmartTelevisions,Unknown,26999,42999,0.37,4.2,45238,16000
